MAPPED_TRAIT,NLP_TERM,NLP_MESH_ID
BANK1/SH2B3 protein level ratio in blood,BANK1/SH2B3 protein,
high density lipoprotein cholesterol measurement,high density lipoprotein cholesterol measurement,
rho GTPase-activating protein 36 measurement,GTPase-activating protein,D020690
GP6/SERPINB1 protein level ratio in blood,GP6/SERPINB1 protein,
HAVCR2/TNFRSF1B protein level ratio in blood,HAVCR2/TNFRSF1B protein,
BANK1/NFATC1 protein level ratio in blood,BANK1/NFATC1 protein,
"gut microbiome measurement, breastfeeding duration",gut microbiome,
"fatty acid amount, omega-6 polyunsaturated fatty acid measurement",fatty acid,D000090943
CD55/CDH1 protein level ratio in blood,CD55/CDH1 protein,
free cholesterol in small LDL measurement ,free cholesterol,
odorant-binding protein 2b measurement,odorant-binding protein 2b measurement,
free cholesterol to total lipids in medium VLDL percentage ,free cholesterol,
CASP3/PDGFB protein level ratio in blood,CASP3/PDGFB protein,
follistatin-related protein 1 measurement,follistatin-related protein 1,
free cholesterol to total lipids in very large VLDL percentage ,free cholesterol,
FAM3B/FGF19 protein level ratio in blood,FAM3B/FGF19 protein,
CASP3/PDGFA protein level ratio in blood,CASP3/PDGFA protein,
free cholesterol to total lipids in small HDL percentage ,free cholesterol,
total lipids in large LDL,lipids,D008055
esterified cholesterol measurement,esterified,D042724
CASP3/MESD protein level ratio in blood,CASP3/MESD protein,
CLEC14A/PIK3IP1 protein level ratio in blood,CLEC14A/PIK3IP1 protein,
ITGB1BP2/TIA1 protein level ratio in blood,ITGB1BP2/TIA1,
level of cytoskeleton-associated protein 4 in blood serum,level,D000082162
FEN1/PADI4 protein level ratio in blood,FEN1/PADI4 protein,
DKK1/VTA1 protein level ratio in blood,protein level,
DNAJA2/EIF4G1 protein level ratio in blood,DNAJA2/EIF4G1 protein,
"diastolic blood pressure, alcohol drinking",diastolic blood pressure,
GP6/TMSB10 protein level ratio in blood,GP6/TMSB10 protein,
DKK1/ZBTB16 protein level ratio in blood,DKK1/ZBTB16 protein,
cholesterol in medium VLDL measurement ,cholesterol,D002784
metabolite measurement,metabolite,
SPARC-like protein 1 measurement,SPARC-like protein 1,
"smoking status measurement, systolic blood pressure",smoking status,
free cholesterol measurement,free cholesterol measurement,
"phospholipids:total lipids ratio, blood VLDL cholesterol amount, chylomicron amount",phospholipids,D010743
systolic blood pressure,systolic blood pressure,
cholesterol in medium LDL measurement ,cholesterol,D002784
BACH1/CNST protein level ratio in blood,BACH1/CNST,
"carrier status, alcohol drinking",carrier status,
amount of OX-2 membrane glycoprotein (human) in blood,OX-2 membrane glycoprotein,
contactin-associated protein-like 2 measurement,contactin-associated protein-like 2 measurement,
BACH1/CD2AP protein level ratio in blood,BACH1/CD2AP,
cell growth regulator with EF hand domain protein 1 measurement,cell growth regulator,
B-cell antigen receptor complex-associated protein beta chain measurement,B-cell antigen receptor complex-associated protein,
CPB1/CTRC protein level ratio in blood,CPB1/CTRC protein,
free cholesterol to total lipids in large VLDL percentage ,free cholesterol,
level of basement membrane-specific heparan sulfate proteoglycan core protein in blood,level,D000082162
level of synapse-associated protein 1 in blood,level,D000082162
ESAM/SCARF1 protein level ratio in blood,protein level,
level of transforming acidic coiled-coil-containing protein 3 in blood,level,D000082162
PIK3IP1/TNFRSF1A protein level ratio in blood,PIK3IP1/TNFRSF1A protein,
MNDA/PADI4 protein level ratio in blood,MNDA/PADI4 protein,
total lipids in small LDL,lipids,D008055
C-reactive protein measurement,C-reactive protein measurement,
EREG/HBEGF protein level ratio in blood,EREG/HBEGF protein,
cholesteryl esters to total lipids in medium VLDL percentage ,cholesteryl esters,
vitamin D amount,vitamin D,D014807
CPA1/CTRC protein level ratio in blood,CPA1/CTRC protein,
endoplasmic reticulum resident protein 44 measurement,endoplasmic reticulum resident protein,
"response to statin, LDL cholesterol change measurement",response,D061745
F11R/SUSD1 protein level ratio in blood,F11R/SUSD1 protein,
cholesterol to total lipids in IDL percentage ,cholesterol,D002784
rho GTPase-activating protein 1 measurement,GTPase-activating protein 1,
triglycerides to total lipids in very large VLDL percentage ,triglycerides,D014280
MESD/SERPINB1 protein level ratio in blood,MESD/SERPINB1 protein,
DIABLO/PDGFB protein level ratio in blood,DIABLO/PDGFB protein,
KLRD1/LY9 protein level ratio in blood,KLRD1/LY9 protein,
BMI-adjusted adiponectin measurement,BMI-adjusted adiponectin measurement,
free cholesterol in medium LDL measurement ,free cholesterol,
"blood pressure trait, chronic obstructive pulmonary disease",blood pressure trait,
DKK1/IPCEF1 protein level ratio in blood,DKK1/IPCEF1 protein,
low-density lipoprotein receptor-related protein 8 measurement,low-density lipoprotein receptor-related protein 8 measurement,
DIABLO/VSIR protein level ratio in blood,DIABLO/VSIR protein,
"delivery measurement, gut microbiome measurement",delivery measurement,
"gut microbiome measurement, allergen exposure measurement",gut microbiome,
HSPG2/SMOC2 protein level ratio in blood,HSPG2/SMOC2 protein level,
total lipids in IDL,lipids,D008055
level of clusterin-like protein 1 in blood,level,D000082162
vitamin B6 measurement,vitamin B6 measurement,
total lipids in very small VLDL measurement,lipids,D008055
"low density lipoprotein cholesterol measurement, response to antipsychotic drug",low density lipoprotein cholesterol measurement,
EBAG9/HBEGF protein level ratio in blood,EBAG9/HBEGF protein,
fibroblast growth factor 19 amount,fibroblast growth factor,D016220
"insomnia, total blood protein measurement",insomnia,D034062
CDH1/CST3 protein level ratio in blood,CDH1/CST3 protein,
cholesterol in large LDL measurement ,cholesterol,D002784
MMP9/OSM protein level ratio in blood,MMP9/OSM protein,
EBAG9/TGFB1 protein level ratio in blood,EBAG9/TGFB1 protein,
"overnutrition, obesity",overnutrition,D044343
CHAC2/TBC1D17 protein level ratio in blood,CHAC2/TBC1D17 protein,
apolipoprotein B measurement,apolipoprotein B measurement,
LPCAT2/PADI4 protein level ratio in blood,LPCAT2/PADI4 protein,
"diastolic blood pressure, systolic blood pressure",diastolic blood pressure,
GRAP2/YES1 protein level ratio in blood,GRAP2/YES1 protein,
free cholesterol to total lipids in large HDL percentage ,free cholesterol,
alcohol dependence,alcohol dependence,
PDGFB/PPP1R12A protein level ratio in blood,PDGFB/PPP1R12A protein,
triglycerides to total lipids in large VLDL percentage ,triglycerides,D014280
phospholipids:total lipids ratio,phospholipids,D010743
PDGFA/USP8 protein level ratio in blood,PDGFA/USP8 protein,
IFNGR1/ROR1 protein level ratio in blood,IFNGR1/ROR1 protein,
GP6/SKAP2 protein level ratio in blood,GP6/SKAP2 protein,
triglycerides to total lipids in medium VLDL percentage ,triglycerides,D014280
EBAG9/EDAR protein level ratio in blood,blood,D001769
TNFRSF14/TNFRSF1A protein level ratio in blood,TNFRSF14/TNFRSF1A protein,
DAB2/MAX protein level ratio in blood,DAB2/MAX protein,
CD69/EDAR protein level ratio in blood,CD69/EDAR protein,
omega-6 polyunsaturated fatty acid measurement,omega-6,D043371
CDH1/HSPG2 protein level ratio in blood,CDH1/HSPG2 protein,
DAG1/PDGFA protein level ratio in blood,DAG1/PDGFA protein,
proprotein convertase subtilisin/kexin type 9 measurement,proprotein convertase subtilisin/kexin type 9 measurement,
phospholipids in large LDL measurement,phospholipids,D010743
DAG1/DKK1 protein level ratio in blood,DAG1/DKK1 protein,
alcohol consumption quality,alcohol consumption quality,
PDGFB/USP8 protein level ratio in blood,PDGFB/USP8 protein,
phospholipids in small LDL measurement ,phospholipids,D010743
BMI-adjusted waist-hip ratio,BMI-adjusted waist-hip ratio,
GP6/SEMA4D protein level ratio in blood,GP6/SEMA4D protein,
MMP8/MMP9 protein level ratio in blood,MMP8/MMP9 protein,
PDGFB/SNAP29 protein level ratio in blood,PDGFB/SNAP29 protein,
free cholesterol to total lipids in small VLDL percentage ,free cholesterol,
gestational diabetes,gestational diabetes,
GP6/STIP1 protein level ratio in blood,GP6/STIP1 protein,
level of serine/threonine-protein kinase/endoribonuclease IRE1 in blood,level,D000082162
blood glucose amount,blood glucose,D001786
phospholipids in LDL measurement ,phospholipids,D010743
BMI-adjusted hip circumference,BMI-adjusted hip circumference,
DFFA/FOXO1 protein level ratio in blood,DFFA/FOXO1 protein level,
free cholesterol in IDL measurement,free cholesterol,
DKK1/PPCDC protein level ratio in blood,DKK1/PPCDC protein,
LAT2/SDC4 protein level ratio in blood,LAT2/SDC4 protein,
free cholesterol in large LDL measurement,free cholesterol,
DAB2/TBL1X protein level ratio in blood,DAB2/TBL1X protein,
level of fibrinogen-like protein 1 in blood,level,D000082162
level of DCC-interacting protein 13-beta in blood,level,D000082162
DAPP1/FOXO1 protein level ratio in blood,DAPP1/FOXO1 protein,
PCSK9 protein measurement,PCSK9 protein measurement,
Golgi membrane protein 1 measurement,Golgi membrane protein 1,
free cholesterol to total lipids in very small VLDL percentage ,free cholesterol,
CA6/DNER protein level ratio in blood,CA6/DNER protein,
DAG1/PDGFB protein level ratio in blood,DAG1/PDGFB protein,
PDGFA/PLA2G4A protein level ratio in blood,PDGFA/PLA2G4A protein,
glycoprotein measurement,glycoprotein measurement,
"FUT3/LILRA2 protein level ratio in blood, FUT5/LILRA2 protein level ratio in blood",FUT3/LILRA2 protein,
type 2 diabetes mellitus,type 2 diabetes mellitus,
PDGFB/PRKAR1A protein level ratio in blood,PDGFB/PRKAR1A protein,
ATG4A/CHAC2 protein level ratio in blood,ATG4A/CHAC2 protein,
level of FYN-binding protein 1 in blood,level,D000082162
PEAR1/PECAM1 protein level ratio in blood,PEAR1/PECAM1 protein,
triglycerides to total lipids in IDL percentage ,triglycerides,D014280
level of sushi domain-containing protein 5 in blood,level,D000082162
APRT/PSME1 protein level ratio in blood,APRT/PSME1 protein,
level of SLIT and NTRK-like protein 6 in blood serum,level,D000082162
cholesteryl esters to total lipids in small VLDL percentage ,cholesteryl esters,
PDGFB/PTPN6 protein level ratio in blood,PDGFB/PTPN6 protein,
total lipids in very large HDL measurement ,lipids,D008055
F11R/SORT1 protein level ratio in blood,F11R/SORT1 protein,
free cholesterol in small VLDL measurement ,free cholesterol,
protein measurement,protein measurement,
FGF19/SCG2 protein level ratio in blood,FGF19/SCG2 protein,
remnant cholesterol measurement,remnant,D053298
LTBP2/PDGFRA protein level ratio in blood,LTBP2/PDGFRA protein,
EGF/GP6 protein level ratio in blood,EGF/GP6 protein,
level of anterior gradient protein 3 in blood,level,D000082162
CXCL6/DFFA protein level ratio in blood,CXCL6/DFFA protein,
EDAR/YES1 protein level ratio in blood,EDAR/YES1 protein,
DFFA/SIRT2 protein level ratio in blood,DFFA/SIRT2 protein,
NCK2/SNAP29 protein level ratio in blood,NCK2/SNAP29 protein,
level of vacuolar protein sorting-associated protein 37A in blood,level,D000082162
"trait in response to buspirone, antidepressant-induced side effect, trait in response to citalopram, response to antidepressant",trait,D000071421
CCL25/PRSS27 protein level ratio in blood,CCL25/PRSS27 protein,
DKK1/PTPN6 protein level ratio in blood,DKK1/PTPN6 protein,
CPA1/PLA2G1B protein level ratio in blood,CPA1/PLA2G1B protein,
glucose measurement,glucose measurement,
"age at onset, alcohol dependence",age,D000099087
total cholesterol in large VLDL,total cholesterol,
"smoking status measurement, diastolic blood pressure",smoking status,
EGF/MPIG6B protein level ratio in blood,EGF/MPIG6B protein,
level of latent-transforming growth factor beta-binding protein 3 in blood,level,D000082162
CARHSP1/TBC1D17 protein level ratio in blood,CARHSP1/TBC1D17 protein,
cholesterol to total lipids in small LDL percentage ,cholesterol,D002784
EGF/MANF protein level ratio in blood,EGF/MANF protein,
total blood protein measurement,total blood protein,
MVK/SERPINE1 protein level ratio in blood,MVK/SERPINE1 protein,
cholesterol to total lipids in very large VLDL percentage ,cholesterol,D002784
CD4/LILRB4 protein level ratio in blood,CD4/LILRB4 protein,
COL6A3/HSPG2 protein level ratio in blood,COL6A3/HSPG2 protein,
free cholesterol in very large HDL measurement ,free cholesterol,
EPHA1/LTBR protein level ratio in blood,EPHA1/LTBR protein,
MAP4K5/MITD1 protein level ratio in blood,MAP4K5/MITD1 protein,
diastolic blood pressure,diastolic blood pressure,
CXADR-like membrane protein measurement,CXADR-like membrane protein,
"esterified cholesterol measurement, intermediate density lipoprotein measurement",esterified cholesterol measurement,
MCFD2/VSIR protein level ratio in blood,MCFD2/VSIR protein,
CCL18/RARRES2 protein level ratio in blood,CCL18/RARRES2 protein,
"total cholesterol measurement, hematocrit, stroke, ventricular rate measurement, body mass index, atrial fibrillation, high density lipoprotein cholesterol measurement, coronary artery disease, diastolic blood pressure, triglyceride measurement, systolic blood pressure, heart failure, diabetes mellitus, glucose measurement, mortality, cancer",total cholesterol measurement,
DAG1/GP6 protein level ratio in blood,DAG1/GP6 protein,
FGR/PADI4 protein level ratio in blood,FGR/PADI4 protein,
RGMB/SMOC2 protein level ratio in blood,RGMB/SMOC2 protein,
"gut microbiome measurement, number of siblings",gut microbiome,
F11R/GP1BA protein level ratio in blood,protein level,
Calcium channel blocker use measurement,Calcium channel blocker,D002121
cysteine-rich motor neuron 1 protein measurement,cysteine-rich,D055515
"carrier status, alcohol consumption quality",carrier status,
EPCAM/GPA33 protein level ratio in blood,EPCAM/GPA33 protein,
insulin measurement,insulin measurement,
ESAM/TNFRSF14 protein level ratio in blood,ESAM/TNFRSF14 protein,
level of ubiquitin recognition factor in ER-associated degradation protein 1 in blood,level,D000082162
level of CD164 sialomucin-like 2 protein in blood,level,D000082162
CDH5/PEAR1 protein level ratio in blood,CDH5/PEAR1 protein,
"attention deficit hyperactivity disorder, anorexia nervosa, type 2 diabetes mellitus",attention,D001288
EGF/PPIB protein level ratio in blood,EGF/PPIB protein,
RETN/RNASET2 protein level ratio in blood,RETN/RNASET2 protein,
intermediate density lipoprotein measurement,intermediate density lipoprotein measurement,
free cholesterol in very small VLDL measurement ,free cholesterol,
cholesteryl esters to total lipids in large VLDL percentage ,cholesteryl esters,
EIF4G1/FOXO1 protein level ratio in blood,EIF4G1/FOXO1 protein,
OSM/TGFA protein level ratio in blood,OSM/TGFA protein level,
APRT/EREG protein level ratio in blood,APRT/EREG protein,
Addictive alcohol use,Addictive alcohol use,
PDGFA/SNAP23 protein level ratio in blood,PDGFA/SNAP23 protein,
total cholesterol in IDL,total cholesterol,
HSPG2/IGFBP6 protein level ratio in blood,HSPG2/IGFBP6 protein,
triglycerides to total lipids in very small VLDL percentage ,triglycerides,D014280
PDGFA/SCARF1 protein level ratio in blood,PDGFA/SCARF1 protein,
"mean arterial pressure, alcohol drinking",alcohol drinking,D000428
cholesterol esters in large VLDL measurement,cholesterol esters,D002788
blood insulin amount,blood insulin,
blood VLDL cholesterol amount,blood VLDL cholesterol amount,
BMI-adjusted waist circumference,BMI-adjusted,
phospholipids in medium LDL measurement,phospholipids,D010743
PEAR1/SNAP23 protein level ratio in blood,PEAR1/SNAP23 protein,
cholesterol in very large HDL measurement ,cholesterol,D002784
GP6/YES1 protein level ratio in blood,GP6/YES1 protein,
PEAR1/SCARF1 protein level ratio in blood,PEAR1/SCARF1 protein,
leucine-rich repeat transmembrane protein FLRT2 measurement,leucine-rich repeat,D000090263
"hypertension, Antihypertensive use measurement",hypertension,D006973
glucose-to-mannose ratio,glucose-to-mannose ratio,
BCR/GOPC protein level ratio in blood,BCR/GOPC protein,
phospholipids in IDL measurement,phospholipids,D010743
cholesterol in small LDL measurement ,cholesterol,D002784
MAX/PMVK protein level ratio in blood,MAX/PMVK protein,
phospholipids in small VLDL measurement,phospholipids,D010743
OSCAR/TNFRSF14 protein level ratio in blood,OSCAR/TNFRSF14 protein,
MANF/PDGFB protein level ratio in blood,MANF/PDGFB protein,
"C-reactive protein measurement, high density lipoprotein cholesterol measurement",C-reactive protein measurement,
HSPG2/PTGDS protein level ratio in blood,HSPG2/PTGDS protein,
free cholesterol in LDL measurement ,free cholesterol,
MAX/PRTFDC1 protein level ratio in blood,MAX/PRTFDC1 protein,
"insulin metabolic clearance rate measurement, glucose homeostasis trait",insulin,D007328
BTN2A1/LILRB4 protein level ratio in blood,BTN2A1/LILRB4,
level of disintegrin and metalloproteinase domain-containing protein 8 in blood,level,D000082162
cholesterol to total lipids in medium VLDL percentage ,cholesterol,D002784
serum selenium amount,serum selenium,
DBNL/EDAR protein level ratio in blood,DBNL/EDAR protein,
MAX/TDRKH protein level ratio in blood,MAX/TDRKH protein,
"low density lipoprotein cholesterol measurement, alcohol drinking",low density lipoprotein cholesterol measurement,
CCN2/DKK1 protein level ratio in blood,CCN2/DKK1 protein,
cholesterol in very small VLDL measurement ,cholesterol,D002784
MAX/TARBP2 protein level ratio in blood,MAX/TARBP2 protein,
tyrosine-protein kinase receptor TYRO3 measurement,tyrosine-protein kinase receptor,
DOK2/LAT2 protein level ratio in blood,DOK2/LAT2 protein,
total lipids in LDL measurement ,lipids,D008055
MAX/STK24 protein level ratio in blood,protein level,
level of charged multivesicular body protein 6 in blood,level,D000082162
CD160/KIR2DL3 protein level ratio in blood,CD160/KIR2DL3 protein,
CCN2/MGLL protein level ratio in blood,CCN2/MGLL protein,
level of Ras-related protein Rab-10 in blood,level,D000082162
protein MRVI1 measurement,MRVI1,
level of endothelial protein C receptor in blood serum,level,D000082162
BMP6/SPINT2 protein level ratio in blood,BMP6/SPINT2 protein,
level of Rho-related GTP-binding protein RhoC in blood,level,D000082162
PTPN1/TBC1D23 protein level ratio in blood,PTPN1/TBC1D23 protein,
APEX1/SRP14 protein level ratio in blood,protein level,
CD164/PARK7 protein level ratio in blood,CD164/PARK7 protein,
MOG/RTBDN protein level ratio in blood,MOG/RTBDN protein,
serine/threonine-protein kinase BRSK2 measurement,serine/threonine-protein kinase,D000071158
serine/threonine-protein kinase receptor R3 measurement,serine/threonine-protein kinase receptor R3 measurement,
CD164/NUDT5 protein level ratio in blood,CD164/NUDT5 protein,
serine/threonine-protein kinase WNK3 measurement,serine/threonine-protein kinase,D000071158
MOG/PTPRN2 protein level ratio in blood,MOG/PTPRN2 protein,
CD79B/TNFRSF13B protein level ratio in blood,CD79B/TNFRSF13B protein,
FOXO1/MAP3K5 protein level ratio in blood,FOXO1/MAP3K5 protein,
stromal membrane-associated protein 1 measurement,stromal membrane-associated protein 1,
EGF/MGLL protein level ratio in blood,EGF/MGLL protein,
level of PDZ and LIM domain protein 7 in blood,level,D000082162
vacuolar protein sorting-associated protein VTA1 homolog measurement,vacuolar protein,
delta-like protein 1 measurement,delta-like protein 1,
FOXO1/STK11 protein level ratio in blood,FOXO1/STK11 protein,
BCAN/NCAN protein level ratio in blood,BCAN/NCAN protein,
protein dpy-30 homolog measurement,protein dpy-30,
probable inactive ribonuclease-like protein 13 measurement,measurement,D054791
ANGPT1/CPXM1 protein level ratio in blood,ANGPT1/CPXM1 protein,
FOXO1/STAT5B protein level ratio in blood,FOXO1/STAT5B protein,
level of interactor protein for cytohesin exchange factors 1 in blood,level,D000082162
ABHD14B/COMT protein level ratio in blood,ABHD14B/COMT protein,
level of protein S100-A14 in blood,level,D000082162
PHD finger protein 3 measurement,PHD finger protein 3,
level of hematopoietic lineage cell-specific protein in blood,level,D000082162
FXYD5/TANK protein level ratio in blood,FXYD5/TANK protein,
CLEC4D/OSM protein level ratio in blood,CLEC4D/OSM protein,
CDKN2D/TACC3 protein level ratio in blood,CDKN2D/TACC3 protein,
heat shock protein beta-1 measurement,heat shock protein beta-1,
CPXM1/VEGFC protein level ratio in blood,CPXM1/VEGFC protein,
CA13/COMT protein level ratio in blood,CA13/COMT protein,
protein Z-dependent protease inhibitor measurement,protein Z-dependent,
CDKN2D/TBL1X protein level ratio in blood,CDKN2D/TBL1X protein,
heat shock 70 kDa protein 1A measurement,heat shock 70 kDa protein 1A,
histidine triad nucleotide-binding protein 1 measurement,histidine,D006639
FXYD5/TMSB10 protein level ratio in blood,FXYD5/TMSB10 protein,
CPXM1/DKK1 protein level ratio in blood,CPXM1/DKK1 protein,
level of Golgi-associated PDZ and coiled-coil motif-containing protein in blood,level,D000082162
CEP43/TIA1 protein level ratio in blood,CEP43/TIA1 protein,
mitotic checkpoint serine/threonine-protein kinase BUB1 measurement,mitotic checkpoint,
APEX1/DPY30 protein level ratio in blood,APEX1/DPY30 protein,
HEXIM1/IKBKG protein level ratio in blood,HEXIM1/IKBKG protein,
ABHD14B/SPARC protein level ratio in blood,ABHD14B/SPARC protein,
level of leucine-rich repeat-containing protein 59 in blood,level,D000082162
CXADR/MME protein level ratio in blood,CXADR/MME protein,
beta-microseminoprotein measurement,beta-microseminoprotein measurement,
"n-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2 measurement","n-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2 measurement",
CLEC1B/TXNDC5 protein level ratio in blood,CLEC1B/TXNDC5 protein,
ENO2/TXNDC5 protein level ratio in blood,ENO2/TXNDC5 protein,
level of RWD domain-containing protein 1 in blood,level,D000082162
HBEGF/YES1 protein level ratio in blood,HBEGF/YES1 protein,
CD40/CRELD2 protein level ratio in blood,CD40/CRELD2 protein,
BAIAP2/MME protein level ratio in blood,BAIAP2/MME protein,
level of large ribosomal subunit protein eL14 in blood,level,D000082162
PARK7/TXNDC5 protein level ratio in blood,PARK7/TXNDC5 protein,
HBEGF/WWP2 protein level ratio in blood,HBEGF/WWP2,
level of protein transport protein Sec31A in blood,level,D000082162
BST2/MME protein level ratio in blood,BST2/MME protein,
pregnancy-specific beta-1-glycoprotein 4 measurement,pregnancy-specific beta-1-glycoprotein 4 measurement,
DBNL/VASH1 protein level ratio in blood,DBNL/VASH1 protein,
HGF/MMP9 protein level ratio in blood,HGF/MMP9 protein,
KIFBP/TACC3 protein level ratio in blood,KIFBP/TACC3 protein level,
ADP-ribosylation factor-binding protein GGA3 measurement,ADP-ribosylation,D000074744
CDKN2D/CRADD protein level ratio in blood,CDKN2D/CRADD protein,
AXL/IL18BP protein level ratio in blood,AXL/IL18BP protein,
NUCB2/TXNDC5 protein level ratio in blood,NUCB2/TXNDC5 protein,
prolow-density lipoprotein receptor-related protein 1 measurement,prolow-density lipoprotein receptor-related protein 1 measurement,
CDKN2D/ITGB1BP2 protein level ratio in blood,CDKN2D/ITGB1BP2 protein,
